[05:49:17:483]  PCM Hammer 021
[05:49:17:486]  Monday, May 04 2026 @05:49:17:48
[05:49:17:489]  ElmDevice initialization starting.
[05:49:17:700]  TX: 
[05:49:17:707]  TX: AT Z
[05:49:18:602]  ELM327 v1.4b
[05:49:18:604]  TX: AT E0
[05:49:18:648]  AT E0  OK
[05:49:18:650]  TX: AT S0
[05:49:18:659]  OK
[05:49:18:662]  TX: AT RV
[05:49:18:677]  Voltage: 12.2V
[05:49:18:683]  TX: AT I
[05:49:18:690]  Elm ID: ELM327 v1.4b
[05:49:18:694]  Initializing PcmHacking.AllProDeviceImplementation
[05:49:18:695]  TX: AT #1
[05:49:18:702]  This is not an AllPro device.
[05:49:18:703]  Determining whether PcmHacking.ScanToolDeviceImplementation is connected.
[05:49:18:704]  TX: ST I
[05:49:18:710]  ScanTool device ID: STN2255 v5.12.4
[05:49:18:713]  TX: STPTO 3000
[05:49:18:721]  OK
[05:49:18:722]  TX: AT AL
[05:49:18:727]  OK
[05:49:18:728]  TX: AT SP2
[05:49:18:733]  OK
[05:49:18:734]  TX: AT DP
[05:49:18:744]  SAE J1850 VPW
[05:49:18:745]  TX: AT AR
[05:49:18:751]  OK
[05:49:18:752]  TX: AT AT0
[05:49:18:757]  OK
[05:49:18:758]  TX: AT SR F0
[05:49:18:763]  OK
[05:49:18:764]  TX: AT H1
[05:49:18:771]  OK
[05:49:18:772]  TX: AT ST 20
[05:49:18:777]  OK
[05:49:40:707]  Setting timeout for ReadProperty, 25 ms.
[05:49:40:709]  TX: STPTO 25
[05:49:40:826]  OK
[05:49:40:846]  TX: STPX H:6C10F0, R:1, D:3C01
[05:49:41:009]  RX: 6C F0 10 7C 01 00 36 47 31 59 4B
[05:49:41:019]  TX: STPX H:6C10F0, R:1, D:3C02
[05:49:41:098]  RX: 6C F0 10 7C 02 34 32 46 34 33 4C
[05:49:41:099]  TX: STPX H:6C10F0, R:1, D:3C03
[05:49:41:155]  RX: 6C F0 10 7C 03 39 39 30 34 37 36
[05:49:41:158]  VIN: 6G1YK42F43L990476
[05:49:41:175]  TX: STPX H:6C10F0, R:1, D:3C0A
[05:49:41:206]  RX: 6C F0 10 7C 0A 00 BA 8A 32
[05:49:41:209]  OS ID: 12225074
[05:49:41:215]  Hardware Type: P01_P59
[05:49:41:224]  TX: STPX H:6C10F0, R:1, D:3C08
[05:49:41:257]  RX: 6C F0 10 7C 08 05 7E 3A 78
[05:49:41:257]  Calibration ID: 92158584
[05:49:41:261]  TX: STPX H:6C10F0, R:1, D:3C04
[05:49:41:315]  RX: 6C F0 10 7C 04 00 8F 3A 22
[05:49:41:316]  Hardware ID: 9386530
[05:49:41:326]  TX: STPX H:6C10F0, R:1, D:3C05
[05:49:41:365]  RX: 6C F0 10 7C 05 32 45 42 33
[05:49:41:367]  TX: STPX H:6C10F0, R:1, D:3C06
[05:49:41:409]  RX: 6C F0 10 7C 06 44 38 4C 4A
[05:49:41:411]  TX: STPX H:6C10F0, R:1, D:3C07
[05:49:41:468]  RX: 6C F0 10 7C 07 33 30 37 32
[05:49:41:470]  Serial Number: 2EB3D8LJ3072
[05:49:41:478]  TX: STPX H:6C10F0, R:1, D:3C14
[05:49:41:528]  RX: 6C F0 10 7C 14 44 53 4B 57
[05:49:41:531]  Broad Cast Code: DSKW
[05:49:41:543]  TX: STPX H:6C10F0, R:1, D:3CA0
[05:49:41:578]  RX: 6C F0 10 7C A0 00
[05:49:41:580]  MEC: 0
[05:52:27:232]  TX: STPX H:6C10F0, R:1, D:3C01
[05:52:27:349]  RX: 6C F0 10 7C 01 00 36 47 31 59 4B
[05:52:27:350]  TX: STPX H:6C10F0, R:1, D:3C02
[05:52:27:404]  RX: 6C F0 10 7C 02 34 32 46 34 33 4C
[05:52:27:404]  TX: STPX H:6C10F0, R:1, D:3C03
[05:52:27:460]  RX: 6C F0 10 7C 03 39 39 30 34 37 36
[05:52:27:461]  VIN: 6G1YK42F43L990476
[05:52:27:475]  TX: STPX H:6C10F0, R:1, D:3C0A
[05:52:27:526]  RX: 6C F0 10 7C 0A 00 BA 8A 32
[05:52:27:528]  OS ID: 12225074
[05:52:27:547]  Hardware Type: P01_P59
[05:52:27:566]  TX: STPX H:6C10F0, R:1, D:3C08
[05:52:27:603]  RX: 6C F0 10 7C 08 05 7E 3A 78
[05:52:27:605]  Calibration ID: 92158584
[05:52:27:624]  TX: STPX H:6C10F0, R:1, D:3C04
[05:52:27:684]  RX: 6C F0 10 7C 04 00 8F 3A 22
[05:52:27:685]  Hardware ID: 9386530
[05:52:27:706]  TX: STPX H:6C10F0, R:1, D:3C05
[05:52:27:764]  RX: 6C F0 10 7C 05 32 45 42 33
[05:52:27:765]  TX: STPX H:6C10F0, R:1, D:3C06
[05:52:27:795]  RX: 6C F0 10 7C 06 44 38 4C 4A
[05:52:27:798]  TX: STPX H:6C10F0, R:1, D:3C07
[05:52:27:849]  RX: 6C F0 10 7C 07 33 30 37 32
[05:52:27:851]  Serial Number: 2EB3D8LJ3072
[05:52:27:863]  TX: STPX H:6C10F0, R:1, D:3C14
[05:52:27:894]  RX: 6C F0 10 7C 14 44 53 4B 57
[05:52:27:895]  Broad Cast Code: DSKW
[05:52:27:899]  TX: STPX H:6C10F0, R:1, D:3CA0
[05:52:27:941]  RX: 6C F0 10 7C A0 00
[05:52:27:943]  MEC: 0
[05:55:42:405]  Will save to C:\Users\Ozzy\Documents\Ryan's Car Tune\Stock\Ryan Second read.bin
[05:55:52:542]  Querying operating system of current PCM.
[05:55:52:564]  TX: STPX H:6C10F0, R:1, D:3C0A
[05:55:52:687]  RX: 6C F0 10 7C 0A 00 BA 8A 32
[05:55:52:690]  OSID: 12225074
[05:55:52:708]  Suppressing VPW chatter.
[05:55:52:713]  TX: STPX H:6CFEF0, R:1, D:2800
[05:55:52:770]  RX: 6C F0 10 68 00
[05:55:52:772]  Sending 'test device present' notification.
[05:55:52:774]  Setting timeout for Minimum, 0 ms.
[05:55:52:774]  TX: STPTO 0
[05:55:52:781]  OK
[05:55:52:781]  TX: STPX H:8CFEF0, R:0, D:3F
[05:55:52:784]  Empty response to STPX with data. OK.
[05:55:52:794]  Setting timeout for ReadProperty, 25 ms.
[05:55:52:796]  TX: STPTO 25
[05:55:52:804]  OK
[05:55:52:806]  Ignoring chatter: 6C F0 10 68 00
[05:55:52:812]  Sending seed request.
[05:55:52:817]  TX: STPX H:6C10F0, R:1, D:2701
[05:55:52:860]  RX: 6C F0 10 67 01 16 CB
[05:55:52:863]  Parsing seed value.
[05:55:52:883]  Sending unlock request (16CB, C837)
[05:55:52:886]  TX: STPX H:6C10F0, R:1, D:2702C837
[05:55:52:952]  RX: 6C F0 10 67 02 34
[05:55:52:954]  Unlock succeeded.
[05:55:52:960]  Sending 'test device present' notification.
[05:55:52:966]  Setting timeout for Minimum, 0 ms.
[05:55:52:966]  TX: STPTO 0
[05:55:52:975]  OK
